,Make,Model,Price,Year,Transmission,Listing Type,Body Type,Fuel Type,Engine Capacity - Cc,Engine Power - KW
751,BMW, 3 SERIES E46 MY03,14990,2003,,Used,Hardtop - Coupe,,,
752,TOYOTA, HILUX SR SR5 GUN126R 4x4,59990,2016,Automatic,Used,Ute,Diesel,2800,
753,JAGUAR, XJ,59990,2011,Automatic,Used,Sedan,Diesel,2993,
754,FORD, TORINO GRAND TORINO SPORTS,59900,1973,,Used,Hardtop - Coupe,,,
755,HOLDEN, HSV VXII CLUBSPORT,25000,2002,Manual,Used,Sedan,Premium Unleaded,,
756,FIAT ABARTH, 500 SERIES 1,19990,2013,,Used,Hatchback,,,
757,TOYOTA, CENTURY VG40,25000,1987,Automatic,Used,Limousine,Premium Unleaded,,243
758,BMW, 645CI E64,39990,2004,,Used,Convertible,,,
759,SAAB, 9-3 Aero,16500,2007,Sequential Manual Auto,Used,Convertible,Premium Unleaded,2800,184
760,OLDSMOBILE, 98,16500,1980,Automatic,Used,Sedan,Leaded Petrol,,
761,HOLDEN, SANDMAN HQ,159000,1974,,Used,Panel Van,,,
762,HOLDEN, CALAIS-V Holden Calais V VF,33500,2013,Automatic,Used,Sedan,Premium Unleaded,,
763,CHEVROLET, SILVERADO LT,49000,2004,Automatic,Used,Cab Chassis,Unleaded,5300,280
764,NISSAN, SKYLINE GTR R34 M-Spec,279950,2001,Manual,Used,Hardtop - Coupe,,2568,
765,HOLDEN, CALAIS VT II,5500,2000,Automatic,Used,Sedan,Unleaded,3800,171
766,JAGUAR, MK II,85000,1964,,Used,Sedan,,,
767,TOYOTA, LANDCRUISER VX,54990,2008,Automatic,Used,Wagon,Unleaded,4700,
768,MERCEDES-BENZ, E220,39990,2013,Automatic,Used,Sedan,Diesel,2143,
769,MERCEDES-BENZ, C-CLASS W204 MY13,26990,2012,,Used,Sedan,,,
770,FORD, RANGER Px MKIII WildTrak 4x4,69990,2018,Automatic,Used,Ute,Diesel,3200,
771,PORSCHE, 356,129990,1962,Manual,Used,Hardtop - Coupe,Unleaded,1582,45
772,BMW, 5 SERIES F10 LCI,39990,2015,,Used,Sedan,,,
773,BMW, 740LI,34990,2010,Steptronic,Used,Sedan,Premium Unleaded,0,
774,FORD, FALCON XL,42000,1963,Automatic,Used,Sedan,Unleaded,289,
775,MG, TD Roadster,39500,1952,,Used,Convertible,,,
776,HOLDEN, HX Kingswood,22000,1978,Automatic,Used,Wagon,Premium Unleaded,4200,
777,MERCEDES-BENZ, E250,29990,2010,Automatic,Used,Hardtop - Coupe,Premium Unleaded,1796,
778,MERCEDES-BENZ, ML55 AMG,19990,2001,Automatic,Used,Wagon,Unleaded,5439,
779,CHEVROLET, IMPALA,39900,1965,,Used,Sedan,,,
780,JAGUAR, MK II 3.4 Litre,69950,1960,Manual Overdrive,Used,Hardtop - Coupe,,3442,
781,MERCEDES-BENZ, C-CLASS W204 MY13,26990,2012,,Used,Sedan,,,
782,HOLDEN, COMMODORE VR,7000,1994,Automatic,Used,Ute,,,
783,FORD, FAIRLANE ZD,82500,1971,,Used,Sedan,,,
784,HOLDEN, HK,25000,1970,Automatic,Used,Panel Van,Leaded Petrol,,
785,MERCEDES-BENZ, CL55,54990,2003,Automatic,Used,Hardtop - Coupe,Premium Unleaded,5439,
786,FORD, RANGER XL,31990,2017,Automatic,Used,Ute,Diesel,3200,
787,FORD, FALCON XT,79888,1968,Automatic,Used,Ute,Premium Unleaded,302,
788,MERCEDES-BENZ, E250,22990,2010,Automatic,Used,Hardtop - Coupe,Premium Unleaded,1796,
789,HOLDEN, HDT VN Aero,17000,1989,Automatic,Used,Sedan,Unleaded,5000,200
790,FORD, MUSTANG Shelby GT500,115000,2007,,Used,Hardtop - Coupe,,,
791,HSV, GTS Gen F,124988,2013,Manual,Used,Sedan,Premium Unleaded,,
792,PORSCHE, 911 CARRERA 2.7,132000,1975,,Used,Hardtop - Coupe,,,
793,BMW, X5,44990,2015,Automatic,Used,Wagon,Diesel,1995,
794,FORD, FUTURA XR Sports Coupe,58000,1967,,Used,Hardtop - Coupe,,,
795,PORSCHE, CAYENNE,79990,2012,Tiptronic,Used,Wagon,Premium Unleaded,4806,
796,PORSCHE, 911,98990,2005,Tiptronic,Used,Convertible,Premium Unleaded,3596,
797,FORD, MUSTANG Boss 302,235000,1970,,Used,Hardtop - Coupe,,,
798,JAGUAR, E-TYPE,249990,1963,Manual,Used,Hardtop - Coupe,Leaded Petrol,3781,
799,PORSCHE, 911,349990,2015,Automatic,Used,Hardtop - Coupe,Premium Unleaded,3996,
800,MERCEDES-BENZ, CLS 218,44990,2013,Automatic,Used,Wagon,Diesel,2148,
801,LAMBORGHINI, AVENTADOR,799880,2018,Automatic,Used,Roadster,Premium Unleaded,6498,
802,AUDI, S4 CABRIOLET 2+2,25000,2005,Tiptronic,Used,Convertible,Premium Unleaded,4200,253
803,HOLDEN, UTE ssv redline,66500,2016,Manual,Used,Ute,Premium Unleaded,,6.2
804,LAND ROVER, RANGE ROVER,37990,2010,Automatic,Used,Wagon,Diesel,2993,
805,MERCEDES-BENZ, CL-CLASS C216,49990,2007,,Used,Hardtop - Coupe,,,
806,FORD, ROADSTER,40000,,Automatic,Used,Roadster,Unleaded,,
807,MERCEDES-BENZ, 560,99990,1989,Automatic,Used,Hardtop - Coupe,Unleaded,5547,
808,BMW, 3 SERIES E46 MY03,14990,2003,,Used,Hardtop - Coupe,,,
809,FORD, MUSTANG GT,77000,1968,Automatic,Used,Fastback,Leaded Petrol,390,325
810,TRIUMPH, TR6,39500,1974,Manual,Used,Convertible,Unleaded,2498,112
811,OLDSMOBILE, 98,57900,1956,,Used,Hardtop - Coupe,,,
812,FERRARI, 308,298000,1977,Manual,Used,Hardtop - Coupe,Leaded Petrol,2926,
813,TOYOTA, CAMRY Altise,7990,2008,Automatic,Used,Sedan,Unleaded,2400,
814,LAND ROVER, FREELANDER 2,16880,2011,Automatic,Used,Wagon,Diesel,2179,
815,FORD, LTD,46990,1973,Automatic,Used,Sedan,Leaded Petrol,5766,
816,PORSCHE, CAYENNE 92A MY11,79990,2011,,Used,Wagon,,,
817,BMW, 220I,27990,2015,Automatic,Used,Wagon,Premium Unleaded,1998,
818,MASERATI, MERAK,114500,1974,,Used,Hardtop - Coupe,,,
819,JAGUAR, MK VII,13000,1952,,Used,Sedan,,,
820,CHEVROLET, CORVETTE C2 STINGRAY,249990,1965,Manual,Used,Hardtop - Coupe,Leaded Petrol,6492,
821,CADILLAC, DE VILLE,15990,1976,Automatic,Used,Hardtop - Coupe,Unleaded,,
822,HOLDEN, HSV VZ CLUBSPORT,37000,2004,Automatic,Used,Sedan,Premium Unleaded,,
823,ROVER, P6B 1,2500,1969,Automatic,Used,Sedan,Premium Unleaded,3500,
824,HOLDEN, TORANA UC SL,49000,1978,,Used,Hatchback,,,
825,BENTLEY, CONTINENTAL,249990,2014,Automatic,Used,Convertible,Premium Unleaded,3993,
826,CHEVROLET, CORVETTE,389990,1966,Manual,Used,Hardtop - Coupe,Leaded Petrol,6966,
827,LAND ROVER, RANGE ROVER SPORT TDV6 MY11,32990,2011,Automatic,Used,Wagon,Diesel,2993,
828,MG, B,25500,1970,Manual,Used,Roadster,Unleaded,1798,0
829,HOLDEN, UTE ssv redline,66500,2016,Manual,Used,Ute,Premium Unleaded,,6.2
830,MAZDA, RX8,25000,2005,Automatic,Used,Hardtop - Coupe,Premium Unleaded,1308,
831,HOLDEN, HSV VXII CLUBSPORT,25000,2002,Manual,Used,Sedan,Premium Unleaded,,
832,DODGE, CHALLENGER SRT8,148000,2010,Manual,Used,Hardtop - Coupe,Premium Unleaded,6100,317
833,FORD, HI-BOY,37990,1932,Automatic,Used,Roadster,Unleaded,,
834,CHEVROLET, BEL AIR,124990,1957,Automatic,Used,Hardtop - Coupe,Unleaded,,
835,FORD, RANCHERO,39990,1957,Automatic,Used,Ute,Unleaded,,
836,MG, F MY01,19990,2001,,Used,Roadster,,,
837,VOLKSWAGEN, BEACH BUGGY Myer Manx,50000,1966,,Used,Open Wheeler,,1600,
838,LAND ROVER, EVOQUE,44990,2013,Automatic,Used,Wagon,Premium Unleaded,1999,
839,HOLDEN, TORANA LX,99000,1976,,Used,Sedan,,,
840,AUDI, A3 8P MY10,16990,2009,,Used,Convertible,,,
841,CHEVROLET, CORVETTE,134990,1954,Automatic,Used,Roadster,Unleaded,,
842,FORD, FALCON GT XY REPLICA UTE,92500,1971,,Used,Ute,,,
843,LAND ROVER, DISCOVERY,21000,2007,Automatic,Used,Wagon,Unleaded,,
844,SUBARU, LIBERTY,15000,1997,Manual,Used,Sedan,Premium Unleaded,,175
845,CHRYSLER, VALIANT CL 318,79990,1977,,Used,Ute,Unleaded,5200,
846,JAGUAR, MK II 3.8,54990,1966,Automatic,Used,Sedan,Leaded Petrol,3781,
847,MCLAREN, 570GT,399990,2020,,Used,Hardtop - Coupe,,,
848,MERCEDES-BENZ, S-CLASS S400h,75988,2014,Automatic,Used,Sedan,,,
849,FORD, FALCON FG,24990,2008,Manual,Used,Sedan,Unleaded,3984,
850,HOLDEN, TORANA,155000,1974,,Used,Sedan,,,
851,MERCEDES-BENZ, S-CLASS W222,109990,2013,,Used,Sedan,,,
852,MERCEDES-BENZ, S400,129990,2016,Automatic,Used,Sedan,Premium Unleaded,2996,
853,FERRARI, 308 GTB Vetroresina,278000,1976,,Used,Hardtop - Coupe,,,
854,BENTLEY, FLYING SPUR,269990,2017,Automatic,Used,Sedan,Premium Unleaded,3993,
855,PORSCHE, 928S 4,69950,1988,Automatic,Used,Hardtop - Coupe,,4957,
856,FPV, GT FG,59990,2008,,Used,Sedan,,,
857,AUSTIN HEALEY, 3000 MK III BJ8,119990,1967,Manual,Used,Convertible,Leaded Petrol,2912,
858,VOLKSWAGEN, TRANSPORTER SWB,12990,2007,Manual,Used,Van,Diesel,2000,
859,FORD, HOT ROD 3 Window,85000,1934,Automatic,Used,Hardtop - Coupe,Unleaded,351,450
860,FORD, FAIRLANE ZD,82500,1971,,Used,Sedan,,,
861,CHEVROLET, BEL AIR,74900,1956,,Used,Hardtop - Coupe,,,
862,MORGAN, THREE WHEELER Super Sports Aero,59950,1929,Manual,Used,Roadster,,998,
863,FORD, MUSTANG,42900,1965,,Used,Hardtop - Coupe,,,
864,KIA, SORENTO Platinum,27990,2015,Automatic,Used,Wagon,,0,0
865,OLDSMOBILE, 98 SPORTS COUPE,17500,1971,,Used,Hardtop - Coupe,,,
866,MERCEDES-BENZ, C200,49990,2015,Automatic,Used,Sedan,Premium Unleaded,1991,
867,CADILLAC, CONVERTIBLE 62,65500,1960,Automatic,Used,Convertible,Unleaded,,
868,FORD, MUSTANG,219990,2010,Manual,Used,Hardtop - Coupe,,0,
869,MERCEDES-BENZ, CLK350,19990,2005,Automatic,Used,Hardtop - Coupe,Unleaded,3498,
870,FORD, F100 [Empty],59990,1977,,Used,Ute,Unleaded,,
871,MERCEDES-BENZ, M-CLASS ML 300 CDI,25990,2010,Automatic,Used,Wagon,Diesel,3000,
872,MERCEDES-BENZ, 300SE W126,4950,1988,Automatic,Used,Sedan,LPG,,
873,MERCEDES-BENZ, SL-CLASS R230 MY05,49990,2004,,Used,Roadster,,,
874,HOLDEN, GEMINI SL/E,2800,1985,Manual,Used,Sedan,Leaded Petrol,,
875,AUDI, R8 5.2 FSI Coupe,199980,2010,Manual,Used,Hardtop - Coupe,,,
876,ASTON MARTIN, V12,157990,2002,Sequential Manual Auto,Used,Hardtop - Coupe,Premium Unleaded,5935,
877,HSV, SENATOR VX,70000,2001,,Used,Sedan,,,
878,HOLDEN, UTE VE II MY12,14990,2012,,Used,Ute,,,
879,DATSUN, STANZA GX,12500,1981,,Used,Sedan,,,
880,PONTIAC, GTO 400ci,99500,1970,,Used,Hardtop - Coupe,,,
881,HOLDEN, KINGSWOOD HQ,104990,1973,Automatic,Used,Sedan,Unleaded,5047,179
882,FORD, FALCON XA,117990,1973,Manual,Used,Sedan,Unleaded,5766,224
883,FERRARI, GTC4,428880,2018,Automatic,Used,Hardtop - Coupe,Premium Unleaded,3856,
884,DODGE, PICKUP D5N 200,32000,1975,Manual,Used,Style Side,LPG,4015,92?
885,CHEVROLET, CORVETTE,389990,1966,Manual,Used,Hardtop - Coupe,Leaded Petrol,6966,
886,LAND ROVER, RANGE ROVER,98990,2016,Automatic,Used,Wagon,Diesel,4367,
887,FORD, F150 LARIAT 4x4,179990,2020,Automatic,Used,Ute,Unleaded,5000,
888,CHEVROLET, CORVETTE,114990,1959,Manual,Used,Convertible,Unleaded,,
889,BMW, X1,29990,2013,Automatic,Used,Wagon,Diesel,0,
890,FERRARI, 328GTS,209950,1986,Manual,Used,Targa,,3186,
891,BENTLEY, S2 Continental Park Ward Drophead,489990,1961,,Used,Convertible,,,
892,HOLDEN, MONARO GTS HQ,159000,1972,,Used,Hardtop - Coupe,,,
893,FORD, FALCON XC,47990,1978,Manual,Used,Wagon,,,
894,FPV, F6 TYPHOON BF MK II,49990,2008,,Used,Sedan,,,
895,MERCEDES-BENZ, C-CLASS W204,14990,2007,,Used,Sedan,,,
896,CHRYSLER, VALIANT CL Sports Pack Panelvan,129000,1978,,Used,Van,,,
897,FORD, MUSTANG,219990,2010,Manual,Used,Hardtop - Coupe,,0,
898,SAAB, 9-3 444 MY2008,9990,2009,,Used,Wagon,,,
899,MERCEDES-BENZ, 560,119990,1986,Automatic,Used,Convertible,Unleaded,5547,
900,HOLDEN, COMMODORE VK - Commodore Brock Group 3 Replica,49990,1984,,Used,Sedan,,,
901,ASTON MARTIN, DB9,174500,2013,,Used,Hardtop - Coupe,,,
902,HUMMER, H1,96990,,Automatic,Used,Cab Chassis,Diesel,6500,
903,HOLDEN, HT,79888,1970,Automatic,Used,Ute,Premium Unleaded,350,
904,FORD, TUDOR,42990,1935,Automatic,Used,Sedan,Unleaded,,
905,MERCEDES-BENZ, CLA200,74000,,,Used,Sedan,Unleaded,,
906,FORD, RANGER XL 4x4,19500,2011,Automatic,Used,Cab Chassis,Diesel,3200,
907,BENTLEY, CONTINENTAL,199990,2014,Automatic,Used,Hardtop - Coupe,Premium Unleaded,3993,
908,FORD, FAIRLANE,55000,1959,Manual,Used,Sedan,Leaded Petrol,292,149.14 KW
909,MINI, JOHN COOPER,40000,2016,Manual,Used,Hatchback,,,
910,MERCEDES-BENZ, B-CLASS W245,9990,2005,,Used,Hatchback,,,
911,LAND ROVER, SERIES 3 308 V8 5 Speed 4WD,25308,1980,Manual,Used,Ute,Unleaded,5000,
912,TOYOTA, COROLLA ZRE152R,12990,2009,,Used,Sedan,,,
913,CITROEN, C4 B7,11990,2014,,Used,Hatchback,,,
914,TOYOTA, CAMRY CSI,3990,1999,Automatic,Used,Sedan,Unleaded,3000,
915,MERCEDES-BENZ, CL-CLASS C216,49990,2007,,Used,Hardtop - Coupe,,,
916,MASERATI, GRANTURISMO M145 MY13,99999,2013,,Used,Hardtop - Coupe,,,
917,MAZDA, 323 BA1163,6990,1997,,Used,Sedan,,,
918,MERCEDES-BENZ, E-CLASS A207,34990,2010,,Used,Convertible,,,
919,CHEVROLET,  COUPE Master 85,28000,1939,Manual,Used,Hardtop - Coupe,Unleaded,,
920,JAGUAR, SOVEREIGN Series III,13900,1984,Automatic,Used,Sedan,Unleaded,4200,
921,FORD, FAIRLANE ZD,82500,1971,,Used,Sedan,,,
922,HOLDEN, COMMODORE SS VZ,17500,2006,Automatic,Used,Sedan,Premium Unleaded,5967,340
923,MERCEDES-BENZ, SL-CLASS R129,44990,1999,,Used,Roadster,,,
924,JAGUAR, XK,79990,2009,Automatic,Used,Hardtop - Coupe,Premium Unleaded,4196,
925,FORD, FALCON XR6 AU III,19999,2000,Sportmatic,Used,Sedan,Unleaded,4000,172
926,FORD, CUSTOM Country Squire,69990,1951,Automatic,Used,Wagon,Unleaded,,
927,PEUGEOT, 5008 MY13,16990,2013,,Used,Wagon,,,
928,MERCEDES-BENZ, SL280,49990,1996,Automatic,Used,Convertible,Unleaded,2800,
929,FORD, MUSTANG,129990,1970,Manual,Used,Hardtop - Coupe,Leaded Petrol,0,
930,FORD, FALCON XW,59990,1970,Manual,Used,Sedan,Unleaded,,
931,FORD, MUSTANG,129990,1970,Manual,Used,Hardtop - Coupe,Leaded Petrol,0,
932,FORD, TORINO Cobra,32990,1971,Manual,Used,Fastback,Unleaded,,
933,FPV, GT BF MKII,32000,2007,Sequential Sports Shift,Used,Sedan,Premium Unleaded,5400,290
934,JAGUAR, 3.8 MKII,40000,1964,Automatic,Used,Sedan,,,
935,ROLLS-ROYCE, SILVER CLOUD III,84950,,Automatic,Used,Sedan,,6223,
936,BMW, X5 E70 Executive,19990,2007,Automatic,Used,Wagon,Unleaded,3000,
937,CHEVROLET, C10 1/2 Ton,69990,1964,Automatic,Used,Ute,Unleaded,,
938,FORD, CUSTOM Country Squire,69990,1951,Automatic,Used,Wagon,Unleaded,,
939,FORD, LTD P6,20000,1978,Automatic,Used,Convertible,Premium Unleaded,5800,
940,HSV, CLUBSPORT R8 TOURER VF,74990,2014,,Used,Wagon,,,
941,MORGAN, THREE WHEELER Super Sports Aero,59950,1929,Manual,Used,Roadster,,998,
942,MERCEDES-BENZ, C250,22500,2013,Automatic,Used,Sedan,Premium Unleaded,,
943,PORSCHE, 928S 4,69950,1988,Automatic,Used,Hardtop - Coupe,,4957,
944,FORD, CAPRI Clubsprint,12500,1993,,Used,Convertible,Unleaded,,
945,MERCEDES-BENZ, E220,39990,2013,Automatic,Used,Sedan,Diesel,2143,
946,PORSCHE, CAYENNE,23990,,Automatic,Used,Wagon,Premium Unleaded,,
947,MERCEDES-BENZ, B-CLASS W245 MY11,15990,2011,,Used,Hatchback,,,
948,BMW, 5 SERIES F10 MY13,26990,2013,,Used,Sedan,,,
949,DODGE, CHALLENGER 340,89500,1970,,Used,Hardtop - Coupe,,,
950,BMW, 320D,28990,2011,Steptronic,Used,Hardtop - Coupe,Diesel,1995,
951,MERCEDES-BENZ, C-CLASS W204 MY13,26990,2012,,Used,Sedan,,,
952,CHRYSLER, 300 SRT8,45000,2012,,Used,Sedan,,,
953,PORSCHE, BOXSTER 987 MY10,59990,2010,,Used,Convertible,,,
954,VOLKSWAGEN, TRANSPORTER TDI250 Runner,29990,2016,Manual,Used,Van,Diesel,2000,
955,HSV, GTO VZ,129990,2004,Automatic,Used,Hardtop - Coupe,,,
956,BMW, 520D,34990,2011,,Used,Sedan,,,
957,FORD, SHELBY GT500,95990,2011,Manual,Used,Convertible,Premium Unleaded,5400,
958,IVECO, DAILY 4x2,48990,2020,Automatic,Used,Van,Diesel,2300,
959,VOLKSWAGEN, TRANSPORTER TDI 340,18990,2012,Automatic,Used,Van,Diesel,2000,
960,HOLDEN, HQ GTS MONARO 350 TRIBUTE,145000,1973,Automatic,Used,Hardtop - Coupe,,,
961,MASERATI, GRANTURISMO,159990,2016,Automatic,Used,Hardtop - Coupe,Premium Unleaded,0,
962,MERCEDES-BENZ, SLC200,65990,2017,Automatic,Used,Roadster,Premium Unleaded,1991,
963,MERCEDES-BENZ, CLS 250D,69990,2017,Automatic,Used,Hardtop - Coupe,Diesel,2143,
964,AUDI, A8,39990,2011,Tiptronic,Used,Sedan,Diesel,2976,
965,BMW, X5,54990,2015,Automatic,Used,Wagon,Diesel,2993,
966,BUICK, RIVIERA 46R Special,26990,1955,Automatic,Used,Hardtop - Coupe,Unleaded,,
967,JEEP, WRANGLER,24940,2011,Manual,Used,Convertible,Unleaded,3778,
968,CHEVROLET, 3100,67500,1955,Automatic,Used,Tray,Leaded Petrol,6000,375
969,LAND ROVER, DEFENDER 90,58500,1994,Manual,Used,Wagon,Diesel,,
970,ASTON MARTIN, DB9,179500,2013,,Used,Hardtop - Coupe,,,
971,MERCEDES-BENZ, M-CLASS ML 300 CDI,25990,2010,Automatic,Used,Wagon,Diesel,3000,
972,SUZUKI, GRAND VITARA 4x4 XL-7,6990,2001,Automatic,Used,Wagon,Unleaded,2700,
973,CHRYSLER, VALIANT REGAL VC,59500,1966,,Used,Sedan,,,
974,PORSCHE, MACAN,89990,2015,Automatic,Used,Wagon,Premium Unleaded,3604,
975,LEYLAND, MINI Van,25000,1978,Manual,Used,Panel Van,Unleaded,,
976,CHEVROLET, 3100 1/2 Ton,54990,1948,Automatic,Used,Ute,Unleaded,,
977,FERRARI, 360 SPIDER,213000,2002,,Used,Convertible,,,
978,SUBARU, IMPREZA,39990,1996,Manual,Used,Sedan,Premium Unleaded,2000,
979,MERCEDES-BENZ, 450SL,24990,1979,Automatic,Used,Convertible,Unleaded,,
980,AUDI, Q2,39990,2017,Automatic,Used,Wagon,Unleaded,1400,
981,MERCEDES-BENZ, S350,48990,2010,Automatic,Used,Sedan,Premium Unleaded,0,
982,MERCEDES-BENZ, GL 500,39990,2007,,Used,Wagon,,,
983,CHEVROLET, BELAIR Wagon,54850,1964,Automatic,Used,Wagon,Premium Unleaded,350,350
984,CHEVROLET, CORVETTE,99990,1964,,Used,Roadster,Unleaded,5360,0
985,HOLDEN, COMMODORE MOTORSPORT EDITION VF SERIES II,129500,2017,,Used,Sedan,,,
986,JAGUAR, MK II 3.4 Litre,69950,1960,Manual Overdrive,Used,Hardtop - Coupe,,3442,
987,FORD, CUSTOM 5 WINDOW COUPE,,1932,Manual,Used,Hardtop - Coupe,,,
988,MITSUBISHI, TRITON UTE,,1997,,Used,Ute,,,
989,PONTIAC, GTO,,1970,Manual,Used,Hardtop - Coupe,,,
990,CHRYSLER, 300 Pace Setter,49990,1963,Automatic,Used,Convertible,Unleaded,,
991,FORD, FAIRMONT GS,,1971,,Used,Sedan,,,
992,HOLDEN, MONARO HG,,1971,Manual,Used,Hardtop - Coupe,,,
993,CHEVROLET, CORVETTE,,1959,Manual,Used,Convertible,,,
994,PONTIAC, TRANS AM,,1971,Automatic,Used,Hardtop - Coupe,Premium Unleaded,,
995,MITSUBISHI, TRITON UTE,,1997,,Used,Ute,,,
996,FORD, F100,,1957,Automatic,Used,Ute,,,
997,FORD, THUNDERBIRD,,1957,Automatic,Used,Convertible,,,
998,MERCURY, COUPE,,1951,Automatic,Used,Hardtop - Coupe,,,
999,MERCEDES-BENZ, C200,,2016,Automatic,Used,Hardtop - Coupe,Premium Unleaded,1991,
1000,GMC, PICKUP SUPER CUSTOM,,1972,Automatic,Used,Ute,,,
1001,HSV, W427 VE,,2009,,Used,Sedan,,,
1002,CHEVROLET, CORVETTE,,1959,Manual,Used,Convertible,,,
1003,HOLDEN, TORANA LX,,1975,,Used,Hatchback,,,
1004,FORD, FALCON GT XW,,1969,,Used,Sedan,,,
1005,MERCEDES-BENZ, SPRINTER,,,,Used,Van,,,
1006,MERCEDES-BENZ, C200,,2016,Automatic,Used,Hardtop - Coupe,Premium Unleaded,1991,
1007,MERCURY, MONTEREY,,1959,Automatic,Used,Hardtop - Coupe,,,
1008,HOLDEN, SANDMAN HJ,,1975,Manual,Used,Van,,,0
1009,PLYMOUTH, ROAD RUNNER TRIBUTE,,1968,Automatic,Used,Hardtop - Coupe,,,
1010,CADILLAC, SERIES 62,,1953,Automatic,Used,Convertible,,,
1011,AC, COBRA,,2001,Manual,Used,Roadster,,,
1012,HOLDEN, TORANA LX,,1976,Manual,Used,Hatchback,,,0
1013,CHEVROLET, BEL AIR,,1955,Manual,Used,Hardtop - Coupe,,,
1014,FORD, FALCON XD,,1979,Automatic,Used,Sedan,,,
1015,HSV, GTSR W1 VF,,2017,,Used,Sedan,,,
1016,PORSCHE, CAYENNE,39990,2010,Tiptronic,Used,Wagon,Diesel,2967,
1017,MERCURY, COUPE,,1951,Automatic,Used,Hardtop - Coupe,,,
1018,CHEVROLET, CORVETTE C6,,2008,Manual,Used,Hardtop - Coupe,,,377
1019,HOLDEN, MONARO HG,,1971,Manual,Used,Hardtop - Coupe,,,
1020,JENSEN, INTERCEPTOR,,1967,Automatic,Used,Hardtop - Coupe,,6286,
1021,FIAT, 1900A 'GRANLUCE',,1955,,Used,Hardtop - Coupe,,,
1022,FORD, FALCON XC,,1977,Automatic,Used,Panel Van,,,
1023,PORSCHE, CAYENNE,39990,2010,Tiptronic,Used,Wagon,Diesel,2967,
1024,HOLDEN, SANDMAN HJ,,1975,Manual,Used,Van,,,0
1025,HOLDEN, PREMIER HK,,1968,Automatic,Used,Sedan,,,157
1026,HSV, GTSR W1 VF,,2017,,Used,Sedan,,,
1027,FORD, FALCON XW GT,,1970,,Used,Sedan,,,
1028,FERRARI, SUPER AMERICA 575,,2006,Automatic,Used,Convertible,Premium Unleaded,5748,397
1029,FORD, GALAXIE,,1959,Automatic,Used,Convertible,,,
1030,FORD, FALCON XD,,1979,Automatic,Used,Sedan,,,
1031,HOLDEN, PREMIER HD,,1965,Automatic,Used,Sedan,,,
1032,FORD, FAIRMONT XA,,1973,Manual,Used,Hardtop - Coupe,,,0
1033,FORD, MUSTANG,,1966,Manual,Used,Fastback,,,0
1034,FORD, FUTURA XW,,1969,Automatic,Used,Sedan,,,
1035,GMC, PICKUP SUPER CUSTOM,,1972,Automatic,Used,Ute,,,
1036,PONTIAC, FIREBIRD,,1968,Automatic,Used,Hardtop - Coupe,,,
1037,HOLDEN, MONARO HQ GTS Replica,,1972,Automatic,Used,Hardtop - Coupe,,,
1038,PONTIAC, GTO,99990,1969,Manual,Used,Convertible,Unleaded,,
1039,HOLDEN, TORANA LX,,1976,Manual,Used,Hatchback,,,0
1040,CHEVROLET, BELAIR,,1957,Automatic,Used,Hardtop - Coupe,,,
1041,PLYMOUTH, ROAD RUNNER TRIBUTE,,1968,Automatic,Used,Hardtop - Coupe,,,
1042,AC, COBRA,,2001,Manual,Used,Roadster,,,
1043,HSV, W427 VE,,2009,,Used,Sedan,,,
1044,CHEVROLET, CORVETTE C6,,2008,Manual,Used,Hardtop - Coupe,,,377
