,Make,Model,Price,Year,Transmission,Listing Type,Body Type,Fuel Type,Engine Capacity - Cc,Engine Power - KW
251,CHEVROLET, SILVERADO,139990,2015,Automatic,Used,Ute,Diesel,,
252,MASERATI, MERAK,114500,1974,,Used,Hardtop - Coupe,,,
253,FORD, TL50 1,35000,1999,Automatic,Used,Sedan,Premium Unleaded,5000,200
254,MERCEDES-BENZ, SLK R172,86990,2012,,Used,Roadster,,,
255,ALFA ROMEO, MONTREAL,175000,1974,Manual,Used,Hardtop - Coupe,Unleaded,2600,149
256,MASERATI, 3200,44990,2000,Automatic,Used,Hardtop - Coupe,Premium Unleaded,3217,
257,MERCEDES-BENZ, E-CLASS S212 MY13,34990,2013,,Used,Wagon,,,
258,FORD, MUSTANG GT,77000,1968,Automatic,Used,Fastback,Leaded Petrol,390,325
259,BMW, X1 E84 LCI MY0713,21990,2013,,Used,Wagon,,,
260,TOYOTA, HILUX SR SR5 GUN126R 4x4,59990,2016,Automatic,Used,Ute,Diesel,2800,
261,TOYOTA, COROLLA Conquest,12990,2010,Automatic,Used,Hatchback,Unleaded,1800,
262,FORD, F150 Harley Davidson Edition,79000,2012,,Used,Ute,,,
263,ROLLS-ROYCE, 20/25 HP OA,45000,1929,Manual,Used,Sedan,Unleaded,3800,
264,HOLDEN, MONARO GTS HQ,159000,1972,,Used,Hardtop - Coupe,,,
265,VOLKSWAGEN, CRAFTER 35 TDI 200 MWB,34990,2015,Manual,Used,Van,Diesel,2100,
266,AUDI, RS5,57990,2010,Automatic,Used,Hardtop - Coupe,Premium Unleaded,0,
267,BMW, X5,49990,2014,Automatic,Used,Wagon,Premium Unleaded,2979,
268,HSV, CLUBSPORT VT II,39990,1999,,Used,Sedan,,,
269,AUDI, RS5,109990,2013,,Used,Hardtop - Coupe,,,
270,MERCEDES-BENZ, S-CLASS W221 MY11,56990,2012,,Used,Sedan,,,
271,PORSCHE, CAYENNE,23990,,Automatic,Used,Wagon,Premium Unleaded,,
272,DATSUN, 240Z,100980,1970,Manual,Used,Hardtop - Coupe,Premium Unleaded,2753,
273,JAGUAR, XK140 DHC,199950,,Manual,Used,Hardtop - Coupe,,3442,
274,NISSAN, PATROL,29990,2009,Manual,Used,Wagon,Diesel,2953,
275,HSV, SENATOR SIGNATURE  HOLDEN  VT SENATOR SIGNATURE 220I,37000,1998,,Used,Sedan,,5700,
276,PORSCHE, 356 REPLICA,19990,,Manual,Used,Hardtop - Coupe,Unleaded,,
277,ROLLS-ROYCE, SILVER CLOUD III,84950,,Automatic,Used,Sedan,,6223,
278,LAND ROVER, DISCOVERY,21000,2007,Automatic,Used,Wagon,Unleaded,,
279,HOLDEN, COMMODORE VK - Commodore Brock Group 3 Replica,49990,1984,,Used,Sedan,,,
280,FORD, ESCORT,22990,1976,Automatic,Used,Sedan,Unleaded,1598,46
281,TOYOTA, LANDCRUISER GXL,42990,2010,Automatic,Used,Wagon,Diesel,4500,
282,MITSUBISHI, PAJERO 4x4,32990,2014,Automatic,Used,Wagon,Diesel,3200,
283,JAGUAR, XKR X150 MY12,89990,2012,,Used,Hardtop - Coupe,,,
284,MERCEDES-BENZ, 220SEB (WITH 280 ENGINE) W111,189950,1964,Automatic,Used,Convertible,,,
285,MERCEDES-BENZ, SL-CLASS R230 MY05,49990,2004,,Used,Roadster,,,
286,CHRYSLER, PLYMOUTH ROADRUNNER,60000,1971,Manual,Used,Hardtop - Coupe,Premium Unleaded,,
287,LAND ROVER, RANGE ROVER,129990,2015,Automatic,Used,Wagon,Diesel,4367,
288,MERCEDES-BENZ, ML400,59990,2014,Automatic,Used,Wagon,Premium Unleaded,2996,
289,JAGUAR, XJSC TWR,59500,1986,,Used,Convertible,,,
290,FORD, F150 LARIAT 4x4,179990,2020,Automatic,Used,Ute,Unleaded,5000,
291,HOLDEN, MONARO V2 Series III,89990,2004,Automatic,Used,Hardtop - Coupe,Unleaded,5700,245
292,CHEVROLET, C10,59888,1968,Automatic,Used,Ute,Premium Unleaded,350,
293,TRIUMPH, TR6,39500,1974,Manual,Used,Convertible,Unleaded,2498,112
294,CHRYSLER, CROSSFIRE ZH,18000,2005,Automatic,Used,Roadster,Premium Unleaded,3199,160
295,PORSCHE, 356SC,440000,1965,Manual,Used,Convertible,,1600,
296,OLDSMOBILE, 98,16500,1980,Automatic,Used,Sedan,Leaded Petrol,,
297,MITSUBISHI, PAJERO NS 25th Anniversary,22990,2008,Manual,Used,Wagon,,0,0
298,MINI, COOPER,9995,2008,,Used,Hatchback,Unleaded,,
299,CHEVROLET, CAMARO,129990,1968,Automatic,Used,Hardtop - Coupe,Unleaded,,
300,CHEVROLET, C10,59888,1968,Automatic,Used,Ute,Premium Unleaded,350,
301,MERCEDES-BENZ, E250 CDI W212,45990,2015,Automatic,Used,Sedan,Diesel,2143,
302,PONTIAC, BONNEVILLE,35990,1963,Automatic,Used,Convertible,Unleaded,,
303,FORD, TUDOR,42990,1935,Automatic,Used,Sedan,Unleaded,,
304,FORD, FALCON XA,95000,1972,Manual,Used,Hardtop - Coupe,Premium Unleaded,5800,
305,VOLKSWAGEN, T5 TRANSPORTER,29990,2010,,Used,Ute,Diesel,2000,
306,HONDA, CIVIC Type R,52988,2018,Manual,Used,Hatchback,Premium Unleaded,,
307,CHEVROLET, C10 1/2 Ton,27990,1968,Automatic,Used,Ute,Unleaded,,
308,PONTIAC, BONNEVILLE,39900,1961,,Used,Sedan,,,
309,JAGUAR, S-TYPE,22950,,,Used,Sedan,,,
310,MERCEDES-BENZ, SLK250,59990,2015,Automatic,Used,Convertible,Premium Unleaded,0,
311,CHEVROLET, SILVERADO,58990,2003,Automatic,Used,Ute,Unleaded,6000,
312,MERCEDES-BENZ, S-CLASS W222,109990,2013,,Used,Sedan,,,
313,FERRARI, 308 GTB Vetroresina,259950,1976,Manual,Used,Hardtop - Coupe,,2926,
314,HOLDEN, UTE VE II MY12,14990,2012,,Used,Ute,,,
315,MASERATI, INDY,126500,1971,,Used,Hardtop - Coupe,,,
316,PLYMOUTH, CRANBROOK,42990,1951,Manual,Used,Convertible,Unleaded,,
317,JAGUAR, XF,69990,2011,Automatic,Used,Sedan,Premium Unleaded,5000,
318,FORD, FAIRMONT GT XY,149000,1972,,Used,Sedan,,,
319,AUDI, Q5,28990,2014,Automatic,Used,Wagon,Diesel,3000,
320,VOLKSWAGEN, GOLF,16990,2009,Automatic,Used,Hatchback,Premium Unleaded,1984,
321,JAGUAR, XF,69990,2011,Automatic,Used,Sedan,Premium Unleaded,5000,
322,FORD, FAIRMONT GT XY,195000,1971,,Used,Sedan,,,
323,MERCEDES-BENZ, CL55,54990,2003,Automatic,Used,Hardtop - Coupe,Premium Unleaded,5439,
324,MERCEDES-BENZ, SL350,46990,2004,,Used,Convertible,,,
325,PORSCHE, CAYENNE,49990,2013,Tiptronic,Used,Wagon,Diesel,2967,
326,CHEVROLET, CORVETTE,123000,,Automatic,Used,Hardtop - Coupe,Premium Unleaded,,
327,TOYOTA, COROLLA ZRE152R,12990,2009,,Used,Sedan,,,
328,FORD, FALCON XH series 2 S model,22000,1997,Automatic,Used,Ute,Premium Unleaded,,
329,PORSCHE, 911 997 MY06,99999,2006,,Used,Convertible,,,
330,FORD, FPV BF 40th Anniversary GT,85000,2007,Manual,Used,Sedan,,,
331,LAMBORGHINI, JARAMA,349950,1971,Manual,Used,Hardtop - Coupe,,3929,
332,TOYOTA, CAMRY Hybrid,7990,2010,Automatic,Used,Sedan,Hybrid,2400,
333,HOLDEN, SPECIAL HR,65000,1967,,Used,Sedan,,,
334,FPV, GT BOSS 315 FG,43500,2008,,Used,Sedan,,,
335,HOLDEN, HX GTS Clone,50000,1977,Manual,Used,Sedan,Premium Unleaded,4200,
336,IVECO, DAILY 4x2,48990,2020,Automatic,Used,Van,Diesel,2300,
337,FORD, FAIRLANE ZD,82500,1971,,Used,Sedan,,,
338,INFINITI, M30D Y51,26990,2013,,Used,Sedan,,,
339,FORD, MUSTANG FM MY17,76990,2016,Manual,Used,Hardtop - Coupe,Premium Unleaded,4950,306
340,MERCEDES-BENZ, C220,19990,2011,Automatic,Used,Sedan,Diesel,2148,
341,DODGE, FARGO,65000,1934,Automatic,Used,Ute,Unleaded,4949,
342,CITROEN, C4 B7,11990,2014,,Used,Hatchback,,,
343,MERCEDES-BENZ, E-CLASS S212 MY13,34990,2013,,Used,Wagon,,,
344,TOYOTA, CORONA,9950,,,Used,Sedan,,,
345,MORGAN, PLUS 8,78500,1980,,Used,Roadster,,,
346,LAND ROVER, RANGE ROVER SPORT TDV6 MY11,32990,2011,Automatic,Used,Wagon,Diesel,2993,
347,AUDI, Q7,34990,2012,Tiptronic,Used,Wagon,Diesel,2967,
348,MERCEDES-BENZ, B-CLASS W245,9990,2005,,Used,Hatchback,,,
349,MERCEDES-BENZ, 560,119990,1986,Automatic,Used,Convertible,Unleaded,5547,
350,PORSCHE, CAYENNE,69990,2015,Tiptronic,Used,Wagon,Diesel,2967,
351,STUDEBAKER, ER,6000,1922,Manual,Used,Tourer,Leaded Petrol,,
352,HOLDEN, TORANA LH,119990,1975,Automatic,Used,Sedan,Unleaded,4142,138
353,AUDI, Q7,34990,2012,Tiptronic,Used,Wagon,Diesel,2967,
354,CHEVROLET, BAKERS VAN,39500,1936,Manual,Used,Panel Van,,,
355,MERCEDES-BENZ, E250 CDI W212,45990,2015,Automatic,Used,Sedan,Diesel,2143,
356,ISUZU, BELLETT,4500,1968,Manual,Used,Sedan,Leaded Petrol,1500,
357,OLDSMOBILE, 98,57900,1956,,Used,Hardtop - Coupe,,,
358,BMW, 5 SERIES F10 LCI,39990,2015,,Used,Sedan,,,
359,PORSCHE, MACAN,74990,2015,Automatic,Used,Wagon,Diesel,2967,
360,VOLKSWAGEN, TRANSPORTER T5 LWB,16990,,Automatic,Used,Van,Diesel,2000,
361,DODGE, CHALLENGER SRT8,148000,2010,Manual,Used,Hardtop - Coupe,Premium Unleaded,6100,317
362,BMW, 1 SERIES E82 LCI MY13,24990,2013,,Used,Hardtop - Coupe,,,
363,FERRARI, 400,149990,1979,Automatic,Used,Hardtop - Coupe,Leaded Petrol,4823,
364,BMW, 523I Executive,9990,1997,Automatic,Used,Sedan,Unleaded,2500,
365,FORD, FALCON XH series 2 S model,22000,1997,Automatic,Used,Ute,Premium Unleaded,,
366,DODGE, CHALLENGER,99990,1970,Manual,Used,Hardtop - Coupe,Unleaded,,
367,JEEP, WRANGLER,59990,2018,Manual,Used,Convertible,Unleaded,3604,
368,HOLDEN, GEMINI SL/E,2800,1985,Manual,Used,Sedan,Leaded Petrol,,
369,BMW, 130I,24990,2009,Steptronic,Used,Hatchback,Unleaded,2996,
370,MERCEDES-BENZ, CL63,79990,2008,Automatic,Used,Hardtop - Coupe,Premium Unleaded,6208,
371,MERCEDES-BENZ, C220,19990,2011,Automatic,Used,Sedan,Diesel,2148,
372,VOLKSWAGEN, CADDY TSI160 SWB,16990,2015,Manual,Used,Van,Unleaded,1200,
